id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept,Ploidy,K
SUM-159_NLS_2N_O1_A10_seedT2,SUM-159,SUM-159_NLS_2N_O1_A10_seed,SUM-159_NLS_2N_O1_A10_seed,18,10,5/28/25,5,8643308,2N,starvation,0,0.501859818,837703.3014,2,14000000
SUM-159_NLS_2N_O1_A11_seed,SUM-159,SUM-159_NLS_2N_O1_A10_seedT2,SUM-159_NLS_2N_O1_A11_seed,19,11,5/30/25,0,491262,2N,starvation,0,0.502224726,531681.5885,2,14000000
SUM-159_NLS_2N_O1_A11_seedT1,SUM-159,SUM-159_NLS_2N_O1_A11_seed,SUM-159_NLS_2N_O1_A11_seed,19,11,6/2/25,3,2923062,2N,starvation,0,0.502224726,531681.5885,2,14000000
SUM-159_NLS_2N_O1_A11_seedT2,SUM-159,SUM-159_NLS_2N_O1_A11_seed,SUM-159_NLS_2N_O1_A11_seed,19,11,6/4/25,5,5817161,2N,starvation,0,0.502224726,531681.5885,2,14000000
SUM-159_NLS_2N_O1_A12_seed,SUM-159,SUM-159_NLS_2N_O1_A11_seedT2,SUM-159_NLS_2N_O1_A12_seed,20,12,6/6/25,0,414398,2N,starvation,0,0.432618048,471237.5003,2,14000000
SUM-159_NLS_2N_O1_A12_seedT1,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,6/9/25,3,2025201,2N,starvation,0,0.432618048,471237.5003,2,14000000
SUM-159_NLS_2N_O1_A12_seedT2,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,6/11/25,5,4665314,2N,starvation,0,0.432618048,471237.5003,2,14000000
SUM-159_NLS_2N_O1_A12_seedT3,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,6/13/25,7,8287951,2N,starvation,0,0.432618048,471237.5003,2,14000000
SUM-159_NLS_2N_O1_A13_seed,SUM-159,SUM-159_NLS_2N_O1_A12_seedT3,SUM-159_NLS_2N_O1_A13_seed,21,13,6/14/25,0,639420,2N,starvation,0,0.427341325,573738.4787,2,14000000
SUM-159_NLS_2N_O1_A13_seedT1,SUM-159,SUM-159_NLS_2N_O1_A13_seed,SUM-159_NLS_2N_O1_A13_seed,21,13,6/16/25,2,1146277,2N,starvation,0,0.427341325,573738.4787,2,14000000
SUM-159_NLS_2N_O1_A13_seedT3,SUM-159,SUM-159_NLS_2N_O1_A13_seed,SUM-159_NLS_2N_O1_A13_seed,21,13,6/20/25,6,7866870,2N,starvation,0,0.427341325,573738.4787,2,14000000
SUM-159_NLS_2N_O1_A14_seed,SUM-159,SUM-159_NLS_2N_O1_A13_seedT3,SUM-159_NLS_2N_O1_A14_seed,22,14,6/25/25,0,485692,2N,starvation,0,0.35920445,432597.6373,2,14000000
SUM-159_NLS_2N_O1_A14_seedT1,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,6/27/25,2,773839,2N,starvation,0,0.35920445,432597.6373,2,14000000
SUM-159_NLS_2N_O1_A14_seedT2,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,6/30/25,5,2447396,2N,starvation,0,0.35920445,432597.6373,2,14000000
SUM-159_NLS_2N_O1_A14_seedT3,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,7/2/25,7,5816047,2N,starvation,0,0.35920445,432597.6373,2,14000000
SUM-159_NLS_2N_O1_A15_seed,SUM-159,SUM-159_NLS_2N_O1_A14_seedT3,SUM-159_NLS_2N_O1_A15_seed,23,15,7/5/25,0,722968,2N,starvation,0,0.47893582,752205.147,2,14000000
SUM-159_NLS_2N_O1_A15_seedT1,SUM-159,SUM-159_NLS_2N_O1_A15_seed,SUM-159_NLS_2N_O1_A15_seed,23,15,7/7/25,2,2122116,2N,starvation,0,0.47893582,752205.147,2,14000000
SUM-159_NLS_2N_O1_A15_seedT2,SUM-159,SUM-159_NLS_2N_O1_A15_seed,SUM-159_NLS_2N_O1_A15_seed,23,15,7/9/25,4,4910388,2N,starvation,0,0.47893582,752205.147,2,14000000
SUM-159_NLS_2N_O1_A16_seed,SUM-159,SUM-159_NLS_2N_O1_A15_seedT2,SUM-159_NLS_2N_O1_A16_seed,24,16,7/26/25,0,451159,2N,starvation,0,0.313471184,660991.7732,2,14000000
SUM-159_NLS_2N_O1_A16_seedT1,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,7/28/25,2,1763418,2N,starvation,0,0.313471184,660991.7732,2,14000000
SUM-159_NLS_2N_O1_A16_seedT2,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,7/30/25,4,2259135,2N,starvation,0,0.313471184,660991.7732,2,14000000
SUM-159_NLS_2N_O1_A16_seedT3,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,8/1/25,6,6217077,2N,starvation,0,0.313471184,660991.7732,2,14000000
SUM-159_NLS_2N_O1_A16_seedT4,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,8/4/25,9,8159844,2N,starvation,0,0.313471184,660991.7732,2,14000000
SUM-159_NLS_2N_O1_A17_seed,SUM-159,SUM-159_NLS_2N_O1_A16_seedT4,SUM-159_NLS_2N_O1_A17_seed,25,17,8/6/25,0,394346,2N,starvation,0,0.437413364,380297.0825,2,14000000
SUM-159_NLS_2N_O1_A17_seedT1,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,8/8/25,2,831023,2N,starvation,0,0.437413364,380297.0825,2,14000000
SUM-159_NLS_2N_O1_A17_seedT2,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,8/11/25,5,3766339,2N,starvation,0,0.437413364,380297.0825,2,14000000
SUM-159_NLS_2N_O1_A17_seedT3,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,8/13/25,7,7737649,2N,starvation,0,0.437413364,380297.0825,2,14000000
SUM-159_NLS_2N_O1_A18_seed,SUM-159,SUM-159_NLS_2N_O1_A17_seedT3,SUM-159_NLS_2N_O1_A18_seed,26,18,8/15/25,0,578151,2N,starvation,0,0.571675739,571291.7068,2,14000000
SUM-159_NLS_2N_O1_A18_seedT1,SUM-159,SUM-159_NLS_2N_O1_A18_seed,SUM-159_NLS_2N_O1_A18_seed,26,18,8/18/25,3,3081246,2N,starvation,0,0.571675739,571291.7068,2,14000000
